UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 07:46 ?        00:00:02 /sbin/init splash
root           2       0  0 07:46 ?        00:00:00 [kthreadd]
root           3       2  0 07:46 ?        00:00:00 [rcu_gp]
root           4       2  0 07:46 ?        00:00:00 [rcu_par_gp]
root           6       2  0 07:46 ?        00:00:00 [kworker/0:0H-kblockd]
root           9       2  0 07:46 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 07:46 ?        00:00:00 [ksoftirqd/0]
root          11       2  0 07:46 ?        00:00:15 [rcu_sched]
root          12       2  0 07:46 ?        00:00:00 [migration/0]
root          13       2  0 07:46 ?        00:00:00 [idle_inject/0]
root          14       2  0 07:46 ?        00:00:00 [cpuhp/0]
root          15       2  0 07:46 ?        00:00:00 [cpuhp/1]
root          16       2  0 07:46 ?        00:00:00 [idle_inject/1]
root          17       2  0 07:46 ?        00:00:00 [migration/1]
root          18       2  0 07:46 ?        00:00:00 [ksoftirqd/1]
root          20       2  0 07:46 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 07:46 ?        00:00:00 [cpuhp/2]
root          22       2  0 07:46 ?        00:00:00 [idle_inject/2]
root          23       2  0 07:46 ?        00:00:00 [migration/2]
root          24       2  0 07:46 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 07:46 ?        00:00:00 [kworker/2:0H-kblockd]
root          27       2  0 07:46 ?        00:00:00 [cpuhp/3]
root          28       2  0 07:46 ?        00:00:00 [idle_inject/3]
root          29       2  0 07:46 ?        00:00:00 [migration/3]
root          30       2  0 07:46 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 07:46 ?        00:00:00 [kworker/3:0H-kblockd]
root          33       2  0 07:46 ?        00:00:00 [kdevtmpfs]
root          34       2  0 07:46 ?        00:00:00 [netns]
root          35       2  0 07:46 ?        00:00:00 [rcu_tasks_kthre]
root          36       2  0 07:46 ?        00:00:00 [rcu_tasks_rude_]
root          37       2  0 07:46 ?        00:00:00 [rcu_tasks_trace]
root          38       2  0 07:46 ?        00:00:00 [kauditd]
root          41       2  0 07:46 ?        00:00:00 [khungtaskd]
root          42       2  0 07:46 ?        00:00:00 [oom_reaper]
root          43       2  0 07:46 ?        00:00:00 [writeback]
root          44       2  0 07:46 ?        00:00:00 [kcompactd0]
root          45       2  0 07:46 ?        00:00:00 [ksmd]
root          46       2  0 07:46 ?        00:00:00 [khugepaged]
root          93       2  0 07:46 ?        00:00:00 [kintegrityd]
root          94       2  0 07:46 ?        00:00:00 [kblockd]
root          95       2  0 07:46 ?        00:00:00 [blkcg_punt_bio]
root          97       2  0 07:46 ?        00:00:00 [tpm_dev_wq]
root          98       2  0 07:46 ?        00:00:00 [ata_sff]
root          99       2  0 07:46 ?        00:00:00 [md]
root         100       2  0 07:46 ?        00:00:00 [edac-poller]
root         101       2  0 07:46 ?        00:00:00 [devfreq_wq]
root         103       2  0 07:46 ?        00:00:00 [watchdogd]
root         104       2  0 07:46 ?        00:00:00 [pm_wq]
root         106       2  0 07:46 ?        00:00:00 [kswapd0]
root         107       2  0 07:46 ?        00:00:00 [ecryptfs-kthrea]
root         109       2  0 07:46 ?        00:00:00 [kthrotld]
root         110       2  0 07:46 ?        00:00:00 [irq/122-aerdrv]
root         111       2  0 07:46 ?        00:00:00 [irq/123-aerdrv]
root         112       2  0 07:46 ?        00:00:00 [irq/124-aerdrv]
root         113       2  0 07:46 ?        00:00:00 [acpi_thermal_pm]
root         114       2  0 07:46 ?        00:00:00 [vfio-irqfd-clea]
root         118       2  0 07:46 ?        00:00:00 [ipv6_addrconf]
root         127       2  0 07:46 ?        00:00:00 [kstrp]
root         130       2  0 07:46 ?        00:00:00 [zswap-shrink]
root         136       2  0 07:46 ?        00:00:00 [charger_manager]
root         187       2  0 07:46 ?        00:00:00 [scsi_eh_0]
root         188       2  0 07:46 ?        00:00:00 [scsi_tmf_0]
root         189       2  0 07:46 ?        00:00:00 [scsi_eh_1]
root         190       2  0 07:46 ?        00:00:00 [scsi_tmf_1]
root         194       2  0 07:46 ?        00:00:04 [irq/51-DELL0767]
root         196       2  0 07:46 ?        00:00:00 [kworker/0:1H-kblockd]
root         198       2  0 07:46 ?        00:00:00 [kworker/2:1H-events_highpri]
root         201       2  0 07:46 ?        00:00:00 [kworker/3:1H-events_highpri]
root         224       2  0 07:46 ?        00:00:00 [kworker/1:1H-events_highpri]
root         225       2  0 07:46 ?        00:00:01 [jbd2/sdb4-8]
root         226       2  0 07:46 ?        00:00:00 [ext4-rsv-conver]
root         269       1  0 07:46 ?        00:00:02 /lib/systemd/systemd-journald
root         297       1  0 07:46 ?        00:00:01 /lib/systemd/systemd-udevd
root         301       2  0 07:46 ?        00:00:00 [loop0]
root         304       2  0 07:46 ?        00:00:00 [loop1]
root         306       2  0 07:46 ?        00:00:00 [loop2]
root         310       2  0 07:46 ?        00:00:00 [loop3]
root         315       2  0 07:46 ?        00:00:00 [loop4]
root         318       2  0 07:46 ?        00:00:00 [loop5]
root         323       2  0 07:46 ?        00:00:00 [loop6]
root         327       2  0 07:46 ?        00:00:00 [loop7]
root         337       2  0 07:46 ?        00:00:00 [loop8]
root         342       2  0 07:46 ?        00:00:00 [loop9]
root         343       2  0 07:46 ?        00:00:00 [loop10]
root         345       2  0 07:46 ?        00:00:00 [loop11]
root         346       2  0 07:46 ?        00:00:00 [loop12]
root         370       2  0 07:46 ?        00:00:00 [loop13]
root         375       2  0 07:46 ?        00:00:00 [loop14]
root         376       2  0 07:46 ?        00:00:00 [loop15]
root         377       2  0 07:46 ?        00:00:00 [loop16]
root         379       2  0 07:46 ?        00:00:00 [loop17]
root         380       2  0 07:46 ?        00:00:00 [loop18]
root         398       2  0 07:46 ?        00:00:00 [loop19]
root         402       2  0 07:46 ?        00:00:00 [cfg80211]
root         414       2  0 07:46 ?        00:00:00 [loop20]
root         418       2  0 07:46 ?        00:00:44 [irq/129-iwlwifi]
root         426       2  0 07:46 ?        00:00:00 [loop21]
root         459       2  0 07:46 ?        00:00:00 [loop22]
root         466       2  0 07:46 ?        00:00:00 [loop23]
root         470       2  0 07:46 ?        00:00:00 [kmemstick]
root         472       2  0 07:46 ?        00:00:00 [loop24]
root         475       2  0 07:46 ?        00:00:00 [cryptd]
root         476       2  0 07:46 ?        00:00:00 [loop25]
root         507       2  0 07:46 ?        00:00:00 [loop26]
root         518       2  0 07:46 ?        00:00:00 [loop27]
root         529       2  0 07:46 ?        00:00:00 [loop28]
root         530       2  0 07:46 ?        00:00:00 [loop29]
root         531       2  0 07:46 ?        00:00:00 [ttm_swap]
root         532       2  0 07:46 ?        00:00:00 [loop30]
root         533       2  0 07:46 ?        00:00:00 [loop31]
root         534       2  0 07:46 ?        00:00:00 [gfx]
root         535       2  0 07:46 ?        00:00:00 [comp_1.0.0]
root         536       2  0 07:46 ?        00:00:00 [comp_1.0.1]
root         537       2  0 07:46 ?        00:00:00 [comp_1.0.2]
root         538       2  0 07:46 ?        00:00:00 [comp_1.0.3]
root         539       2  0 07:46 ?        00:00:00 [comp_1.0.4]
root         540       2  0 07:46 ?        00:00:00 [comp_1.0.5]
root         541       2  0 07:46 ?        00:00:00 [comp_1.0.6]
root         542       2  0 07:46 ?        00:00:00 [comp_1.0.7]
root         545       2  0 07:46 ?        00:00:00 [loop32]
root         546       2  0 07:46 ?        00:00:00 [sdma0]
root         547       2  0 07:46 ?        00:00:00 [sdma1]
root         548       2  0 07:46 ?        00:00:00 [loop33]
systemd+     979       1  0 07:46 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     980       1  0 07:46 ?        00:00:00 /lib/systemd/systemd-timesyncd
